WKT;id;keskustyyp;keskusnimi
"POINT (217750.0 6683750.0)";245;Kaupunkiseudun ulkopuolinen pieni keskus;Nauvo
"POINT (538875.0 6716750.0)";246;Kaupunkiseudun ulkopuolinen pieni keskus;Vironlahti
"POINT (204875.0 6726125.0)";247;Kaupunkiseudun ulkopuolinen pieni keskus;Taivassalo
"POINT (288920.454545455 6730261.36363636)";248;Kaupunkiseudun ulkopuolinen pieni keskus;Koski Tl
"POINT (211500.0 6739500.0)";249;Kaupunkiseudun ulkopuolinen pieni keskus;Vehmaa
"POINT (217041.666666667 6796666.66666667)";250;Kaupunkiseudun ulkopuolinen pieni keskus;Eurajoki
"POINT (227925.0 6839475.0)";251;Kaupunkiseudun ulkopuolinen pieni keskus;Noormarkku
"POINT (572406.25 6851156.25)";252;Kaupunkiseudun ulkopuolinen pieni keskus;Sulkava
"POINT (292625.0 6854833.33333333)";253;Kaupunkiseudun ulkopuolinen pieni keskus;Ikaalinen
"POINT (403937.5 6866625.0)";254;Kaupunkiseudun ulkopuolinen pieni keskus;Jämsänkoski
"POINT (237125.000000001 6897000.0)";255;Kaupunkiseudun ulkopuolinen pieni keskus;Isojoki
"POINT (225725.0 6919675.0)";256;Kaupunkiseudun ulkopuolinen pieni keskus;Karijoki
"POINT (622696.428571429 6935625.0)";257;Kaupunkiseudun ulkopuolinen pieni keskus;Liperi
"POINT (645425.0 6962775.0)";258;Kaupunkiseudun ulkopuolinen pieni keskus;Kontiolahti
"POINT (487750.0 6980750.0)";259;Kaupunkiseudun ulkopuolinen pieni keskus;Tervo
"POINT (412000.0 6984250.0)";260;Kaupunkiseudun ulkopuolinen pieni keskus;Kannonkoski
"POINT (272500.0 6986750.0)";261;Kaupunkiseudun ulkopuolinen pieni keskus;Ylistaro
"POINT (567208.333333334 6993541.66666667)";262;Kaupunkiseudun ulkopuolinen pieni keskus;Juuankoski
"POINT (467325.0 7005725.0)";263;Kaupunkiseudun ulkopuolinen pieni keskus;Keitele
"POINT (288250.0 7008750.0)";264;Kaupunkiseudun ulkopuolinen pieni keskus;Ylihärmä
"POINT (260750.0 7009000.0)";265;Kaupunkiseudun ulkopuolinen pieni keskus;Vöyri
"POINT (330541.666666667 7014291.66666667)";266;Kaupunkiseudun ulkopuolinen pieni keskus;Lappajärvi
"POINT (537833.333333333 7025958.33333333)";267;Kaupunkiseudun ulkopuolinen pieni keskus;Varpaisjärvi
"POINT (398425.0 7028275.0)";268;Kaupunkiseudun ulkopuolinen pieni keskus;Kinnula
"POINT (323833.333333334 7031291.66666667)";269;Kaupunkiseudun ulkopuolinen pieni keskus;Evijärvi
"POINT (304196.428571429 7072839.28571429)";270;Kaupunkiseudun ulkopuolinen pieni keskus;Kruununpyy
"POINT (439410.714285714 7095196.42857143)";271;Kaupunkiseudun ulkopuolinen pieni keskus;Kärsmäki
"POINT (336725.0 7108175.0)";272;Kaupunkiseudun ulkopuolinen pieni keskus;Himanka
"POINT (435250.0 7154125.0)";273;Kaupunkiseudun ulkopuolinen pieni keskus;Rantsila
"POINT (409375.0 7172562.5)";274;Kaupunkiseudun ulkopuolinen pieni keskus;Ruukki
"POINT (435750.0 7182750.0)";275;Kaupunkiseudun ulkopuolinen pieni keskus;Tyrnävä
"POINT (531875.0 7194000.0)";276;Kaupunkiseudun ulkopuolinen pieni keskus;Puolanka
"POINT (477875.0 7312083.33333333)";277;Kaupunkiseudun ulkopuolinen pieni keskus;Ranua
"POINT (401041.666666667 7331458.33333333)";278;Kaupunkiseudun ulkopuolinen pieni keskus;Tervola
"POINT (351000 7359875)";279;Kaupunkiseudun ulkopuolinen pieni keskus;Ylitornio
"POINT (366625.0 7409375.0)";280;Kaupunkiseudun ulkopuolinen pieni keskus;Pello
"POINT (361000.0 7541875.0)";281;Kaupunkiseudun ulkopuolinen pieni keskus;Muonio
"POINT (238041.666666667 6786791.66666666)";282;Kaupunkiseudun ulkopuolinen pieni keskus;Eura
"POINT (238625.0 6787000.0)";283;Kaupunkiseudun ulkopuolinen pieni keskus;Eura
"POINT (300250 7002875)";284;Kaupunkiseudun ulkopuolinen pieni keskus;Lauttamus
"POINT (212187.5 6761062.5)";285;Kaupunkiseudun ulkopuolinen pieni keskus;Laitila
"POINT (482500 7477875)";286;Kaupunkiseudun ulkopuolinen pieni keskus;Sodankylä
"POINT (421875 6782875)";287;Kaupunkiseudun ulkopuolinen pieni keskus;Vääksy
"POINT (248843.75 6776843.75)";288;Kaupunkiseudun ulkopuolinen pieni keskus;Säkylä
"POINT (536696.428571429 6785125.0)";289;Kaupunkiseudun ulkopuolinen pieni keskus;Savitaipale
"POINT (625625.0 6813375.0)";290;Kaupunkiseudun ulkopuolinen pieni keskus;Rautjärvi
"POINT (632875.0 6827562.5)";291;Kaupunkiseudun ulkopuolinen pieni keskus;Parikkala
"POINT (452875.0 6846000.0)";292;Kaupunkiseudun ulkopuolinen pieni keskus;Joutsa
"POINT (619875.0 6866625.0)";293;Kaupunkiseudun ulkopuolinen pieni keskus;Kerimäki
"POINT (369750.0 6879250.0)";294;Kaupunkiseudun ulkopuolinen pieni keskus;Vilppula
"POINT (653250.0 6926125.0)";295;Kaupunkiseudun ulkopuolinen pieni keskus;Hammaslahti
"POINT (540660.714285714 6929125.0)";296;Kaupunkiseudun ulkopuolinen pieni keskus;Leppävirta
"POINT (441000.0 6937500.0)";297;Kaupunkiseudun ulkopuolinen pieni keskus;Suolahti
"POINT (208325.0 6939975.0)";298;Kaupunkiseudun ulkopuolinen pieni keskus;Närpiö
"POINT (620625.0 6971625.0)";299;Kaupunkiseudun ulkopuolinen pieni keskus;Polvijärvi
"POINT (575125.0 6983750.0)";300;Kaupunkiseudun ulkopuolinen pieni keskus;Kaavi
"POINT (554750.0 7008625.0)";301;Kaupunkiseudun ulkopuolinen pieni keskus;Nilsiä
"POINT (613250.0 7014375.0)";302;Kaupunkiseudun ulkopuolinen pieni keskus;Juuka
"POINT (604625.0 7049160.71428571)";303;Kaupunkiseudun ulkopuolinen pieni keskus;Porokylä
"POINT (500156.25 7068343.75)";304;Kaupunkiseudun ulkopuolinen pieni keskus;Vieremä
