mun;scenario;year;sahko_koti_as
536;saasto;2027;584
536;saasto;2028;576
536;saasto;2029;567
536;saasto;2030;559
536;saasto;2031;551
536;saasto;2032;543
536;saasto;2033;536
536;saasto;2034;528
536;saasto;2035;520
536;saasto;2036;512
536;saasto;2037;504
536;saasto;2038;496
536;saasto;2039;489
536;saasto;2040;481
536;saasto;2041;474
536;saasto;2042;467
536;saasto;2043;461
536;saasto;2044;454
536;saasto;2045;447
536;saasto;2046;440
536;saasto;2047;434
536;saasto;2048;427
536;saasto;2049;420
536;saasto;2050;413
536;pysahdys;2017;650
536;pysahdys;2018;650
536;pysahdys;2019;650
536;pysahdys;2020;648
536;pysahdys;2021;645
536;pysahdys;2022;643
536;pysahdys;2023;641
536;pysahdys;2024;638
536;pysahdys;2025;636
536;pysahdys;2026;633
536;pysahdys;2027;631
536;pysahdys;2028;629
536;pysahdys;2029;626
536;pysahdys;2030;624
536;pysahdys;2031;616
536;pysahdys;2032;608
536;pysahdys;2033;600
536;pysahdys;2034;592
536;pysahdys;2035;583
536;pysahdys;2036;575
536;pysahdys;2037;567
536;pysahdys;2038;559
536;pysahdys;2039;551
536;pysahdys;2040;543
536;pysahdys;2041;535
536;pysahdys;2042;528
536;pysahdys;2043;520
536;pysahdys;2044;512
536;pysahdys;2045;505
536;pysahdys;2046;497
536;pysahdys;2047;490
536;pysahdys;2048;482
536;pysahdys;2049;474
536;pysahdys;2050;467
211;wem;2017;650
211;wem;2018;650
211;wem;2019;650
211;wem;2020;648
211;wem;2021;645
