scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemp;muut;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0000;0.0313;0.0000
wemp;muut;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0313;0.0313;0.0000
wemp;muut;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;muut;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;erpien;kaukolampo;-0.0063;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0063;0.0000
wemh;erpien;kevyt_oljy;0.0038;-0.0769;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0731;0.0000
wemh;erpien;raskas_oljy;0.0038;0.0000;-0.0769;0.0000;0.0000;0.0000;0.0000;0.0000;0.0731;0.0000
wemh;erpien;kaasu;0.0016;0.0000;0.0000;-0.0313;0.0000;0.0000;0.0000;0.0000;0.0297;0.0000
wemh;erpien;sahko;0.0004;0.0000;0.0000;0.0000;-0.0078;0.0000;0.0000;0.0000;0.0074;0.0000
wemh;erpien;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;erpien;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;erpien;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;erpien;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;erpien;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;rivita;kaukolampo;-0.0063;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0063;0.0000
wemh;rivita;kevyt_oljy;0.0115;-0.0769;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0654;0.0000
wemh;rivita;raskas_oljy;0.0115;0.0000;-0.0769;0.0000;0.0000;0.0000;0.0000;0.0000;0.0654;0.0000
wemh;rivita;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;rivita;sahko;0.0008;0.0000;0.0000;0.0000;-0.0156;0.0000;0.0000;0.0000;0.0148;0.0000
wemh;rivita;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;rivita;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;rivita;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;rivita;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;rivita;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;kaukolampo;-0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0016;0.0000
wemh;askert;kevyt_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;raskas_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;askert;sahko;0.0016;0.0000;0.0000;0.0000;-0.0313;0.0000;0.0000;0.0000;0.0297;0.0000
wemh;askert;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;askert;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liike;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
wemh;liike;kevyt_oljy;0.0088;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0500;0.0000
wemh;liike;raskas_oljy;0.0088;0.0000;-0.0588;0.0000;0.0000;0.0000;0.0000;0.0000;0.0500;0.0000
wemh;liike;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;liike;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;liike;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liike;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liike;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liike;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;liike;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;kaukolampo;-0.0031;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0000
wemh;tsto;kevyt_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;raskas_oljy;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;kaasu;0.0045;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0252;0.0000
wemh;tsto;sahko;0.0005;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0089;0.0000
wemh;tsto;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemh;tsto;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
