mun;scenario;year;gco2kwh
980;weml;2034;33
980;weml;2035;31
980;weml;2036;28
980;weml;2037;25
980;weml;2038;23
980;weml;2039;21
980;weml;2040;18
980;weml;2041;18
980;weml;2042;18
980;weml;2043;18
980;weml;2044;18
980;weml;2045;18
980;weml;2046;18
980;weml;2047;18
980;weml;2048;18
980;weml;2049;18
980;weml;2050;18
