vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2681256831125;1;0;0;0;0;0;0;1;0
2019;790;2733756831125;1;0;0;0;0;0;1;0;0
2019;790;2758756831125;1;0;0;0;0;0;1;0;0
2019;790;2761256831125;4;0;0;0;0;2;0;2;0
2019;790;2806256831125;2;0;0;0;1;0;1;0;0
2019;790;2848756831125;2;0;0;0;1;1;0;0;0
2019;790;2853756831125;1;0;0;0;0;0;0;0;1
2019;790;2876256831125;2;0;0;0;0;0;0;2;0
2019;790;2878756831125;5;0;1;1;0;2;0;0;1
2019;790;2886256831125;1;0;0;0;0;0;0;0;1
2019;790;2888756831125;1;0;0;0;0;0;1;0;0
2019;790;2906256831125;1;0;0;0;0;0;0;0;1
2019;790;2911256831125;6;0;4;0;0;2;0;0;0
2019;790;2736256831375;4;0;0;0;1;0;2;0;1
2019;790;2743756831375;2;0;0;0;0;0;2;0;0
2019;250;3041256906625;2;0;0;0;0;0;2;0;0
2019;250;3001256906875;1;0;0;0;0;0;0;0;1
2019;250;3023756906875;6;1;2;1;0;2;0;0;0
2019;250;2958756907125;2;0;0;0;0;0;0;2;0
2019;250;3021256907125;6;2;1;0;0;2;0;0;1
2019;250;2976256907375;3;1;1;0;1;0;0;0;0
2019;250;3033756907375;1;0;0;0;0;0;0;1;0
2019;250;2961256907625;2;0;0;0;0;0;2;0;0
2019;250;2966256907625;2;0;0;0;0;0;1;1;0
2019;250;3026256907625;1;0;0;0;0;0;0;0;1
2019;250;3033756907625;4;0;0;1;1;0;2;0;0
2019;250;2963756907875;1;0;0;0;0;0;1;0;0
2019;250;2968756907875;2;0;0;0;0;1;0;1;0
2019;250;2971256907875;4;2;0;0;0;2;0;0;0
2019;250;3013756907875;2;0;0;0;0;2;0;0;0
2019;250;3026256907875;2;0;0;0;0;0;0;2;0
2019;250;2971256908125;1;0;0;0;0;1;0;0;0
2019;250;3011256908125;2;0;0;0;0;0;0;2;0
2019;250;3023756908125;2;0;0;0;0;0;2;0;0
2019;250;3026256908125;2;0;0;0;0;0;1;1;0
2019;250;3041256908125;1;0;0;0;0;0;1;0;0
2019;250;2956256908375;2;0;0;0;0;0;1;1;0
2019;250;2968756908375;2;0;0;0;0;0;0;0;2
2019;250;2976256908375;1;0;0;0;0;0;0;1;0
2019;250;3003756908375;4;2;0;0;0;2;0;0;0
2019;250;3008756908375;2;0;0;0;0;0;0;0;2
2019;250;3021256908375;3;0;0;0;0;0;2;1;0
2019;250;3023756908375;2;0;0;0;0;0;0;0;2
2019;250;3041256908375;5;0;0;0;1;3;0;1;0
2019;250;2961256908625;1;0;0;0;0;0;0;1;0
2019;250;2963756908625;1;0;0;0;0;0;0;1;0
2019;250;3028756908625;5;1;2;0;0;2;0;0;0
2019;250;3033756908625;2;0;0;0;0;1;1;0;0
2019;250;3038756908625;2;0;0;0;0;0;0;0;2
2019;250;2958756909625;2;0;0;0;0;0;0;1;1
2019;250;2961256909625;1;0;0;0;0;0;1;0;0
2019;250;3038756909625;2;0;0;0;0;0;2;0;0
2019;250;2958756909875;2;0;0;0;0;0;1;1;0
2019;250;2963756910375;3;0;0;0;1;0;2;0;0
2019;250;3038756910375;2;0;0;0;0;2;0;0;0
2019;250;3041256910375;2;0;0;0;0;0;0;2;0
2019;250;3026256910625;5;0;0;0;0;0;4;0;1
2019;250;3038756910625;2;0;0;0;0;0;1;1;0
2019;250;3046256910625;1;0;0;0;0;0;1;0;0
2019;250;2958756910875;3;0;0;1;0;0;2;0;0
2019;250;2961256911125;2;0;0;0;0;0;2;0;0
2019;250;3026256911125;1;0;0;0;0;0;0;0;1
2019;250;2958756911375;1;0;0;0;0;0;0;1;0
2019;250;3026256911375;5;1;2;0;0;2;0;0;0
2019;250;3043756911375;2;0;0;0;0;0;1;1;0
2019;250;3046256911375;1;0;0;0;0;0;1;0;0
2019;250;3051256911375;2;0;0;0;0;0;1;0;1
2019;250;2961256911625;2;0;0;0;0;0;0;2;0
2019;250;3028756911625;2;0;0;0;0;0;2;0;0
2019;250;3026256911875;1;0;0;0;0;0;0;1;0
2019;250;3038756912125;1;0;0;0;0;0;1;0;0
2019;250;3018756912375;1;0;0;0;0;0;1;0;0
2019;250;3021256912375;2;0;0;0;1;0;1;0;0
2019;250;3036256912875;2;0;0;0;0;0;1;0;1
2019;250;3048756912875;6;0;2;0;0;2;0;2;0
2019;250;2963756913125;1;0;0;0;0;0;1;0;0
2019;250;2963756913375;2;0;0;0;0;0;2;0;0
2019;250;3046256913375;2;0;0;0;0;0;0;2;0
2019;250;3046256913625;1;0;0;0;0;0;0;0;1
2019;250;3048756913625;2;0;0;0;0;0;2;0;0
2019;250;3051256913625;1;0;0;0;0;0;0;0;1
2019;250;3046256913875;1;0;0;0;0;1;0;0;0
2019;250;3051256913875;3;0;0;0;0;0;3;0;0
2019;250;3043756914125;2;0;0;0;0;0;1;0;1
2019;250;3043756914375;2;0;0;0;0;0;2;0;0
2019;250;3051256914375;2;0;0;0;1;0;1;0;0
2019;250;3036256914625;2;0;0;0;0;2;0;0;0
2019;250;3043756914625;2;0;0;0;0;0;1;0;1
2019;250;3046256914625;1;0;0;0;0;0;0;0;1
2019;250;3038756915625;2;0;0;0;0;0;0;0;2
2019;250;3036256916125;4;0;0;0;2;0;2;0;0
