mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
980;eu80;2017;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2017;bussi;0;0;0.994;0.005;0;0;0;0;0
980;eu80;2017;raide;0;0;0;0;0;0;1;0;0
980;eu80;2017;hlauto;0.518;0.001;0.461;0.006;0.009;0.003;0.001;0;0
980;eu80;2017;muu;0;0;0;0;0;0;0;0;1
980;eu80;2017;pauto;0.013;0;0.985;0.001;0;0;0.001;0;0
980;eu80;2017;kauto;0;0;0.994;0.005;0;0;0;0;0
980;eu80;2018;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2018;bussi;0;0;0.992;0.005;0;0;0.002;0;0
980;eu80;2018;raide;0;0;0;0;0;0;1;0;0
980;eu80;2018;hlauto;0.517;0.001;0.459;0.006;0.012;0.003;0.001;0;0
980;eu80;2018;muu;0;0;0;0;0;0;0;0;1
980;eu80;2018;pauto;0.013;0;0.984;0.001;0;0;0.001;0;0
980;eu80;2018;kauto;0;0;0.994;0.004;0;0.001;0.001;0;0
980;eu80;2019;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2019;bussi;0;0;0.99;0.006;0;0;0.004;0;0
980;eu80;2019;raide;0;0;0;0;0;0;1;0;0
980;eu80;2019;hlauto;0.519;0.001;0.453;0.007;0.013;0.003;0.002;0;0
980;eu80;2019;muu;0;0;0;0;0;0;0;0;1
980;eu80;2019;pauto;0.012;0;0.984;0.002;0;0;0.002;0;0
980;eu80;2019;kauto;0;0;0.994;0.002;0;0.002;0.002;0;0
980;eu80;2020;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2020;bussi;0;0;0.988;0.006;0;0;0.006;0;0
980;eu80;2020;raide;0;0;0;0;0;0;1;0;0
980;eu80;2020;hlauto;0.518;0.001;0.45;0.007;0.016;0.003;0.003;0;0
980;eu80;2020;muu;0;0;0;0;0;0;0;0;1
980;eu80;2020;pauto;0.012;0;0.983;0.002;0;0;0.003;0;0
980;eu80;2020;kauto;0;0;0.994;0;0;0.003;0.002;0;0
980;eu80;2021;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2021;bussi;0;0;0.966;0.017;0;0;0.017;0;0
980;eu80;2021;raide;0;0;0;0;0;0;1;0;0
980;eu80;2021;hlauto;0.51;0.001;0.442;0.009;0.025;0.004;0.009;0;0
980;eu80;2021;muu;0;0;0;0;0;0;0;0;1
980;eu80;2021;pauto;0.013;0;0.967;0.005;0;0;0.01;0;0.002
980;eu80;2021;kauto;0;0;0.987;0.001;0;0.006;0.006;0;0
980;eu80;2022;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2022;bussi;0;0;0.944;0.028;0;0;0.027;0;0
980;eu80;2022;raide;0;0;0;0;0;0;1;0;0
980;eu80;2022;hlauto;0.502;0.001;0.434;0.01;0.034;0.004;0.015;0;0
980;eu80;2022;muu;0;0;0;0;0;0;0;0;1
980;eu80;2022;pauto;0.015;0;0.95;0.009;0;0;0.018;0;0.004
980;eu80;2022;kauto;0;0;0.98;0.001;0;0.01;0.009;0;0
980;eu80;2023;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2023;bussi;0;0;0.923;0.038;0;0;0.038;0;0
980;eu80;2023;raide;0;0;0;0;0;0;1;0;0
980;eu80;2023;hlauto;0.494;0.001;0.427;0.012;0.043;0.004;0.02;0;0
980;eu80;2023;muu;0;0;0;0;0;0;0;0;1
980;eu80;2023;pauto;0.017;0;0.933;0.013;0;0;0.025;0;0.006
980;eu80;2023;kauto;0;0;0.972;0.002;0;0.013;0.013;0;0
980;eu80;2024;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2024;bussi;0;0;0.901;0.049;0;0;0.049;0;0
980;eu80;2024;raide;0;0;0;0;0;0;1;0;0
980;eu80;2024;hlauto;0.485;0.001;0.419;0.013;0.052;0.004;0.026;0;0
980;eu80;2024;muu;0;0;0;0;0;0;0;0;1
980;eu80;2024;pauto;0.018;0;0.917;0.016;0;0;0.033;0;0.008
980;eu80;2024;kauto;0;0;0.965;0.002;0;0.017;0.016;0;0
980;eu80;2025;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2025;bussi;0;0;0.879;0.06;0;0;0.06;0.001;0
980;eu80;2025;raide;0;0;0;0;0;0;1;0;0
980;eu80;2025;hlauto;0.477;0.001;0.411;0.015;0.061;0.005;0.031;0;0
980;eu80;2025;muu;0;0;0;0;0;0;0;0;1
980;eu80;2025;pauto;0.02;0;0.9;0.02;0;0;0.04;0.001;0.009
980;eu80;2025;kauto;0;0;0.958;0.002;0;0.02;0.02;0;0
980;eu80;2026;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2026;bussi;0;0;0.867;0.062;0;0;0.07;0.001;0
980;eu80;2026;raide;0;0;0;0;0;0;1;0;0
980;eu80;2026;hlauto;0.464;0.001;0.397;0.016;0.076;0.005;0.041;0;0
980;eu80;2026;muu;0;0;0;0;0;0;0;0;1
980;eu80;2026;pauto;0.02;0;0.882;0.022;0.004;0;0.053;0.001;0.005
980;eu80;2026;kauto;0;0;0.943;0.004;0;0.027;0.027;0;0
980;eu80;2027;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2027;bussi;0;0;0.855;0.063;0;0;0.08;0.001;0
980;eu80;2027;raide;0;0;0;0;0;0;1;0;0
980;eu80;2027;hlauto;0.45;0.001;0.384;0.018;0.091;0.005;0.05;0.001;0
980;eu80;2027;muu;0;0;0;0;0;0;0;0;1
980;eu80;2027;pauto;0.02;0;0.864;0.025;0.007;0;0.066;0.001;0.001
980;eu80;2027;kauto;0;0;0.928;0.005;0;0.034;0.033;0;0
980;eu80;2028;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2028;bussi;0;0;0.844;0.065;0;0;0.091;0.001;0
980;eu80;2028;raide;0;0;0;0;0;0;1;0;0
980;eu80;2028;hlauto;0.437;0.001;0.371;0.02;0.106;0.006;0.06;0.001;0
980;eu80;2028;muu;0;0;0;0;0;0;0;0;1
980;eu80;2028;pauto;0.02;0;0.846;0.027;0.011;0;0.08;0.001;-0.004
980;eu80;2028;kauto;0;0;0.913;0.006;0;0.041;0.04;0;0
980;eu80;2029;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2029;bussi;0;0;0.832;0.067;0;0;0.101;0.001;0
980;eu80;2029;raide;0;0;0;0;0;0;1;0;0
980;eu80;2029;hlauto;0.424;0;0.357;0.021;0.121;0.006;0.069;0.002;0
980;eu80;2029;muu;0;0;0;0;0;0;0;0;1
980;eu80;2029;pauto;0.02;0;0.828;0.029;0.014;0;0.093;0.001;-0.008
980;eu80;2029;kauto;0;0;0.898;0.008;0;0.048;0.047;0;0
980;eu80;2030;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2030;bussi;0;0;0.82;0.068;0;0;0.111;0.001;0
980;eu80;2030;raide;0;0;0;0;0;0;1;0;0
980;eu80;2030;hlauto;0.41;0;0.344;0.023;0.136;0.006;0.079;0.002;0
980;eu80;2030;muu;0;0;0;0;0;0;0;0;1
980;eu80;2030;pauto;0.02;0;0.81;0.032;0.018;0;0.106;0.001;-0.012
980;eu80;2030;kauto;0;0;0.883;0.009;0;0.055;0.054;0;0
980;eu80;2031;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2031;bussi;0;0;0.809;0.072;0;0;0.115;0.003;0
980;eu80;2031;raide;0;0;0;0;0;0;1;0;0
980;eu80;2031;hlauto;0.399;0.002;0.335;0.023;0.139;0.014;0.083;0.005;0
980;eu80;2031;muu;0;0;0;0;0;0;0;0;1
980;eu80;2031;pauto;0.019;0;0.782;0.032;0.015;0;0.111;0.004;0
980;eu80;2031;kauto;0;0;0.866;0.01;0;0.066;0.058;0;0
980;eu80;2032;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2032;bussi;0;0;0.799;0.076;0;0;0.12;0.005;0
980;eu80;2032;raide;0;0;0;0;0;0;1;0;0
980;eu80;2032;hlauto;0.387;0.004;0.327;0.022;0.143;0.021;0.088;0.008;0
980;eu80;2032;muu;0;0;0;0;0;0;0;0;1
980;eu80;2032;pauto;0.019;0.001;0.754;0.033;0.025;0;0.115;0.006;0
980;eu80;2032;kauto;0;0;0.85;0.01;0;0.077;0.062;0;0
980;eu80;2033;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2033;bussi;0;0;0.788;0.08;0;0;0.125;0.007;0
980;eu80;2033;raide;0;0;0;0;0;0;1;0;0
980;eu80;2033;hlauto;0.376;0.005;0.318;0.022;0.147;0.028;0.093;0.011;0
980;eu80;2033;muu;0;0;0;0;0;0;0;0;1
980;eu80;2033;pauto;0.018;0.001;0.726;0.033;0.034;0;0.12;0.009;0
980;eu80;2033;kauto;0;0;0.834;0.011;0;0.088;0.067;0;0
980;eu80;2034;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2034;bussi;0;0;0.777;0.085;0;0;0.129;0.009;0
980;eu80;2034;raide;0;0;0;0;0;0;1;0;0
980;eu80;2034;hlauto;0.365;0.007;0.309;0.021;0.151;0.036;0.097;0.015;0
980;eu80;2034;muu;0;0;0;0;0;0;0;0;1
980;eu80;2034;pauto;0.017;0.001;0.698;0.033;0.044;0;0.125;0.011;0
980;eu80;2034;kauto;0;0;0.818;0.011;0;0.1;0.071;0;0
980;eu80;2035;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2035;bussi;0;0;0.767;0.089;0;0;0.134;0.011;0
980;eu80;2035;raide;0;0;0;0;0;0;1;0;0
980;eu80;2035;hlauto;0.353;0.008;0.301;0.021;0.154;0.043;0.102;0.018;0
980;eu80;2035;muu;0;0;0;0;0;0;0;0;1
980;eu80;2035;pauto;0.016;0.001;0.67;0.034;0.054;0;0.129;0.014;0
980;eu80;2035;kauto;0;0;0.802;0.012;0;0.111;0.075;0;0
980;eu80;2036;jalkapyora;0;0;0;0;0;0;0;0;0
980;eu80;2036;bussi;0;0;0.758;0.093;0;0;0.138;0.011;0
