vuosi;kunta;tp_yht;xyind
2017;604;1;3201256815875
2017;604;1;3166256816125
2017;604;1;3173756816125
2017;604;55;3203756816125
2017;604;1;3178756816375
2017;604;1;3188756816375
2017;604;36;3203756816375
2017;604;15;3216256816375
2017;604;1;3166256816625
2017;604;1;3178756816625
2017;604;3;3181256816625
2017;604;2;3191256816625
2017;604;2;3208756816625
2017;604;26;3213756816625
2017;604;3;3163756816875
2017;604;2;3196256816875
2017;604;1;3201256816875
2017;604;7;3206256816875
2017;604;9;3208756816875
2017;604;32;3211256816875
2017;604;113;3213756816875
2017;604;89;3216256816875
2017;604;2;3173756817125
2017;604;1;3191256817125
2017;604;1;3193756817125
2017;604;1;3198756817125
2017;702;1;3406256855375
2017;702;1;3401256856125
2017;702;11;3433756856125
2017;702;1;3436256856625
2017;702;1;3436256857125
2017;702;1;3391256857875
2017;702;2;3438756857875
2017;702;1;3391256858125
2017;702;1;3448756858125
2017;702;1;3393756858375
2017;702;1;3378756858625
2017;702;1;3398756858625
2017;702;1;3403756858625
2017;702;2;3388756859125
2017;702;1;3428756860125
2017;702;1;3378756860375
2017;702;1;3441256860625
2017;702;1;3373756861625
2017;702;2;3433756861625
2017;702;1;3428756861875
2017;702;1;3448756861875
2017;702;17;3503756861875
2017;702;3;3586256862875
2017;702;6;3428756863375
2017;702;1;3453756863375
2017;702;1;3586256863625
2017;702;2;3373756864625
2017;702;2;3448756864625
2017;702;1;3371256865125
2017;702;8;3381256865125
2017;702;1;3438756865375
2017;702;1;3481256865625
2017;702;1;3446256865875
2017;702;2;3451256865875
2017;702;1;3473756865875
2017;702;15;3481256865875
2017;702;1;3473756866125
2017;702;32;3478756866125
2017;702;5;3481256866125
2017;702;3;3496256866125
2017;702;2;3551256866125
2017;702;1;3578756866125
2017;702;1;3478756866375
2017;702;1;3558756866625
2017;702;1;3576256866625
2017;702;1;3581256866625
2017;702;1;3421256866875
2017;702;3;3501256866875
2017;702;1;3458756867125
2017;702;2;3478756867125
2017;702;2;3458756867375
2017;702;1;3478756867625
2017;702;1;3488756867625
2017;702;2;3501256867625
2017;702;9;3516256867875
2017;702;2;3488756868125
2017;702;1;3361256868375
2017;702;4;3488756868375
2017;702;1;3498756868375
2017;702;1;3581256868875
2017;702;2;3363756869125
2017;702;4;3406256869125
2017;702;33;3491256869625
2017;702;6;3376256870125
2017;702;1;3548756870375
2017;702;1;3483756870625
2017;702;5;3396256870875
2017;702;3;3566256870875
2017;702;2;3396256871125
2017;702;1;3473756871125
2017;702;2;3498756871125
2017;702;1;3543756871125
2017;702;3;3483756871375
2017;702;1;3546256871375
2017;604;3;3203756817125
