scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemp;2043;varast;0
wemp;2043;muut;25
wemp;2044;erpien;10
wemp;2044;rivita;20
wemp;2044;askert;22
wemp;2044;liike;25
wemp;2044;tsto;20
wemp;2044;liiken;25
wemp;2044;hoito;35
wemp;2044;kokoon;25
wemp;2044;opetus;20
wemp;2044;teoll;0
wemp;2044;varast;0
wemp;2044;muut;25
wemp;2045;erpien;10
wemp;2045;rivita;20
wemp;2045;askert;22
wemp;2045;liike;25
wemp;2045;tsto;20
wemp;2045;liiken;25
wemp;2045;hoito;35
wemp;2045;kokoon;25
wemp;2045;opetus;20
wemp;2045;teoll;0
wemp;2045;varast;0
wemp;2045;muut;25
wemp;2046;erpien;10
wemp;2046;rivita;20
wemp;2046;askert;22
wemp;2046;liike;25
wemp;2046;tsto;20
wemp;2046;liiken;25
wemp;2046;hoito;35
wemp;2046;kokoon;25
wemp;2046;opetus;20
wemp;2046;teoll;0
wemp;2046;varast;0
wemp;2046;muut;25
wemp;2047;erpien;10
wemp;2047;rivita;20
wemp;2047;askert;22
wemp;2047;liike;25
wemp;2047;tsto;20
wemp;2047;liiken;25
wemp;2047;hoito;35
wemp;2047;kokoon;25
wemp;2047;opetus;20
wemp;2047;teoll;0
wemp;2047;varast;0
wemp;2047;muut;25
wemp;2048;erpien;10
wemp;2048;rivita;20
wemp;2048;askert;22
wemp;2048;liike;25
wemp;2048;tsto;20
wemp;2048;liiken;25
wemp;2048;hoito;35
wemp;2048;kokoon;25
wemp;2048;opetus;20
wemp;2048;teoll;0
wemp;2048;varast;0
wemp;2048;muut;25
wemp;2049;erpien;10
wemp;2049;rivita;20
wemp;2049;askert;22
wemp;2049;liike;25
wemp;2049;tsto;20
wemp;2049;liiken;25
wemp;2049;hoito;35
wemp;2049;kokoon;25
wemp;2049;opetus;20
wemp;2049;teoll;0
wemp;2049;varast;0
wemp;2049;muut;25
wemp;2050;erpien;0
wemp;2050;rivita;0
wemp;2050;askert;0
wemp;2050;liike;25
wemp;2050;tsto;20
wemp;2050;liiken;25
wemp;2050;hoito;35
wemp;2050;kokoon;25
wemp;2050;opetus;20
wemp;2050;teoll;0
wemp;2050;varast;0
wemp;2050;muut;25
