scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wemh;1959;opetus;10
wemh;1959;teoll;8
wemh;1959;varast;4
wemh;1959;muut;8
wemh;1969;erpien;29
wemh;1969;rivita;33
wemh;1969;askert;33
wemh;1969;liike;35
wemh;1969;tsto;5
wemh;1969;liiken;5
wemh;1969;hoito;27
wemh;1969;kokoon;6
wemh;1969;opetus;10
wemh;1969;teoll;8
wemh;1969;varast;4
wemh;1969;muut;8
wemh;1979;erpien;29
wemh;1979;rivita;31
wemh;1979;askert;31
wemh;1979;liike;34
wemh;1979;tsto;5
wemh;1979;liiken;5
wemh;1979;hoito;27
wemh;1979;kokoon;6
wemh;1979;opetus;9
wemh;1979;teoll;8
wemh;1979;varast;4
wemh;1979;muut;8
wemh;1989;erpien;28
wemh;1989;rivita;30
wemh;1989;askert;29
wemh;1989;liike;34
wemh;1989;tsto;5
wemh;1989;liiken;4
wemh;1989;hoito;27
wemh;1989;kokoon;6
wemh;1989;opetus;9
wemh;1989;teoll;8
wemh;1989;varast;4
wemh;1989;muut;8
wemh;1999;erpien;31
wemh;1999;rivita;32
wemh;1999;askert;30
wemh;1999;liike;34
wemh;1999;tsto;5
wemh;1999;liiken;3
wemh;1999;hoito;27
wemh;1999;kokoon;6
wemh;1999;opetus;9
wemh;1999;teoll;8
wemh;1999;varast;4
wemh;1999;muut;8
wemh;2009;erpien;29
wemh;2009;rivita;30
wemh;2009;askert;28
wemh;2009;liike;33
wemh;2009;tsto;5
wemh;2009;liiken;4
wemh;2009;hoito;26
wemh;2009;kokoon;6
wemh;2009;opetus;9
wemh;2009;teoll;8
wemh;2009;varast;4
wemh;2009;muut;8
wemh;2010;erpien;27
wemh;2010;rivita;29
wemh;2010;askert;26
wemh;2010;liike;33
wemh;2010;tsto;3
wemh;2010;liiken;2
wemh;2010;hoito;26
wemh;2010;kokoon;6
wemh;2010;opetus;8
wemh;2010;teoll;8
wemh;2010;varast;4
wemh;2010;muut;8
wemh;2018;erpien;27
wemh;2018;rivita;29
wemh;2018;askert;26
wemh;2018;liike;33
wemh;2018;tsto;3
wemh;2018;liiken;2
wemh;2018;hoito;26
wemh;2018;kokoon;6
wemh;2018;opetus;8
wemh;2018;teoll;8
wemh;2018;varast;4
wemh;2018;muut;8
wemh;2019;erpien;27
wemh;2019;rivita;29
wemh;2019;askert;26
wemh;2019;liike;33
wemh;2019;tsto;3
wemh;2019;liiken;2
wemh;2019;hoito;26
wemh;2019;kokoon;6
wemh;2019;opetus;8
wemh;2019;teoll;8
wemh;2019;varast;4
wemh;2019;muut;8
wemh;2020;erpien;27
wemh;2020;rivita;29
wemh;2020;askert;26
wemh;2020;liike;33
wemh;2020;tsto;3
wemh;2020;liiken;2
wemh;2020;hoito;26
wemh;2020;kokoon;6
wemh;2020;opetus;8
wemh;2020;teoll;8
wemh;2020;varast;4
wemh;2020;muut;8
wemh;2021;erpien;27
wemh;2021;rivita;29
wemh;2021;askert;26
wemh;2021;liike;33
wemh;2021;tsto;3
wemh;2021;liiken;2
wemh;2021;hoito;26
wemh;2021;kokoon;6
wemh;2021;opetus;8
wemh;2021;teoll;8
wemh;2021;varast;4
wemh;2021;muut;8
wemh;2022;erpien;27
wemh;2022;rivita;29
wemh;2022;askert;26
wemh;2022;liike;33
wemh;2022;tsto;3
wemh;2022;liiken;2
wemh;2022;hoito;26
wemh;2022;kokoon;6
wemh;2022;opetus;8
wemh;2022;teoll;8
wemh;2022;varast;4
wemh;2022;muut;8
wemh;2023;erpien;27
wemh;2023;rivita;29
wemh;2023;askert;26
wemh;2023;liike;33
wemh;2023;tsto;3
wemh;2023;liiken;2
wemh;2023;hoito;26
wemh;2023;kokoon;6
wemh;2023;opetus;8
wemh;2023;teoll;8
wemh;2023;varast;4
wemh;2023;muut;8
wemh;2024;erpien;27
wemh;2024;rivita;29
wemh;2024;askert;26
wemh;2024;liike;33
wemh;2024;tsto;3
wemh;2024;liiken;2
wemh;2024;hoito;26
wemh;2024;kokoon;6
wemh;2024;opetus;8
wemh;2024;teoll;8
wemh;2024;varast;4
wemh;2024;muut;8
wemh;2025;erpien;27
wemh;2025;rivita;29
wemh;2025;askert;26
wemh;2025;liike;33
wemh;2025;tsto;3
wemh;2025;liiken;2
wemh;2025;hoito;26
wemh;2025;kokoon;6
wemh;2025;opetus;8
wemh;2025;teoll;8
wemh;2025;varast;4
wemh;2025;muut;8
wemh;2026;erpien;27
wemh;2026;rivita;29
wemh;2026;askert;26
wemh;2026;liike;33
