scenario;year;rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;kaasu;sahko;puu;maalampo;muu_lammitys
kasvu;2039;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2027;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2028;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2029;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2030;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2031;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2032;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2033;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2034;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2035;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2036;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2037;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2038;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2039;2039;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;9999;hoito;1;0;0;0;0;0;0
kasvu;2040;1920;hoito;1;0;0;0;0;0;0
kasvu;2040;1929;hoito;0.92;0.06;0;0;0;0;0.01
kasvu;2040;1939;hoito;0.91;0.06;0;0.03;0;0;0
kasvu;2040;1949;hoito;1;0;0;0;0;0;0
kasvu;2040;1959;hoito;0.88;0.12;0;0;0;0;0
kasvu;2040;1969;hoito;1;0;0;0;0;0;0
kasvu;2040;1979;hoito;0.9;0.1;0;0;0;0;0
kasvu;2040;1989;hoito;0.99;0;0;0.01;0;0;0
kasvu;2040;1999;hoito;0.92;0.07;0;0.01;0;0;0
kasvu;2040;2009;hoito;0.9;0.02;0;0.07;0;0;0.01
kasvu;2040;2010;hoito;0.92;0;0;0.02;0;0.06;0
kasvu;2040;2018;hoito;0.93;0;0;0;0;0;0.07
kasvu;2040;2019;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2020;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2021;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2022;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2023;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2024;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2025;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2026;hoito;0.9;0;0;0.05;0;0.05;0
kasvu;2040;2027;hoito;0.9;0;0;0.05;0;0.05;0
