scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
muutos;2036;13662;13237;14144;12053;14206;12807;14206;14206;14206;11300;9793;12053
muutos;2037;12829;12430;13282;11319;13340;12026;13340;13340;13340;10611;9196;11319
muutos;2038;12040;11666;12465;10623;12520;11287;12520;12520;12520;9959;8631;10623
muutos;2039;11279;10929;11678;9951;11728;10573;11728;11728;11728;9329;8085;9951
muutos;2040;10545;10218;10918;9304;10965;9886;10965;10965;10965;8723;7560;9304
muutos;2041;9835;9530;10183;8677;10227;9220;10227;10227;10227;8135;7050;8677
muutos;2042;9145;8861;9469;8069;9510;8573;9510;9510;9510;7565;6556;8069
muutos;2043;8452;8189;8750;7457;8788;7923;8788;8788;8788;6991;6059;7457
muutos;2044;7818;7575;8094;6897;8129;7328;8129;8129;8129;6466;5604;6897
muutos;2045;6308;6112;6531;5566;6560;5914;6560;6560;6560;5218;4522;5566
muutos;2046;5778;5599;5982;5098;6008;5417;6008;6008;6008;4779;4142;5098
muutos;2047;5254;5091;5439;4635;5463;4925;5463;5463;5463;4346;3766;4635
muutos;2048;4790;4641;4959;4226;4981;4490;4981;4981;4981;3962;3434;4226
muutos;2049;4331;4196;4484;3821;4503;4060;4503;4503;4503;3582;3105;3821
muutos;2050;3876;3755;4013;3420;4030;3633;4030;4030;4030;3206;2778;3420
saasto;2018;29645;28725;30693;26156;30827;27791;30827;30827;30827;24521;21252;26156
saasto;2019;28789;27895;29807;25401;29936;26988;29936;29936;29936;23813;20638;25401
saasto;2020;28135;27261;29130;24823;29256;26375;29256;29256;29256;23272;20169;24823
saasto;2021;27608;26751;28584;24358;28708;25881;28708;28708;28708;22836;19791;24358
saasto;2022;26684;25856;27627;23543;27748;25015;27748;27748;27748;22072;19129;23543
saasto;2023;25766;24965;26676;22733;26792;24153;26792;26792;26792;21312;18470;22733
saasto;2024;24853;24081;25731;21928;25843;23298;25843;25843;25843;20557;17816;21928
saasto;2025;24060;23313;24910;21228;25018;22554;25018;25018;25018;19901;17248;21228
saasto;2026;23197;22477;24017;20467;24122;21746;24122;24122;24122;19188;16629;20467
saasto;2027;22282;21590;23069;19659;23169;20888;23169;23169;23169;18430;15973;19659
saasto;2028;21324;20661;22077;18814;22173;19989;22173;22173;22173;17638;15286;18814
saasto;2029;20393;19760;21114;17993;21206;19117;21206;21206;21206;16868;14619;17993
saasto;2030;19401;18799;20087;17118;20174;18187;20174;20174;20174;16048;13908;17118
saasto;2031;18425;17853;19076;16256;19159;17272;19159;19159;19159;15240;13208;16256
saasto;2032;17478;16935;18095;15420;18174;16384;18174;18174;18174;14457;12529;15420
saasto;2033;16675;16158;17265;14713;17340;15632;17340;17340;17340;13793;11954;14713
saasto;2034;15898;15405;16460;14027;16532;14904;16532;16532;16532;13150;11397;14027
saasto;2035;15132;14662;15667;13351;15735;14185;15735;15735;15735;12516;10848;13351
saasto;2036;14394;13947;14903;12700;14968;13494;14968;14968;14968;11906;10319;12700
saasto;2037;13690;13265;14174;12079;14236;12834;14236;14236;14236;11324;9814;12079
saasto;2038;13014;12610;13474;11483;13533;12200;13533;13533;13533;10765;9330;11483
saasto;2039;12359;11975;12796;10904;12851;11586;12851;12851;12851;10223;8860;10904
saasto;2040;11723;11359;12137;10343;12190;10990;12190;12190;12190;9697;8404;10343
saasto;2041;11104;10759;11496;9797;11546;10409;11546;11546;11546;9184;7960;9797
saasto;2042;10498;10172;10869;9262;10916;9841;10916;10916;10916;8683;7525;9262
saasto;2043;9918;9610;10268;8750;10313;9297;10313;10313;10313;8203;7110;8750
saasto;2044;9351;9061;9682;8250;9724;8766;9724;9724;9724;7735;6703;8250
saasto;2045;7288;7062;7546;6431;7579;6832;7579;7579;7579;6029;5225;6431
saasto;2046;6891;6677;7135;6080;7166;6460;7166;7166;7166;5700;4940;6080
