scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2040;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
wemp;2040;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.96
wemp;2040;pauto;0.88;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
wemp;2040;kauto;2.13;1.94;1.76;1.59;1.66;1.66;1.11;1.11;0.00
wemp;2041;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2041;bussi;1.52;1.52;1.38;1.55;1.52;1.52;0.51;0.51;0.00
wemp;2041;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.93;0.00;0.00
wemp;2041;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
wemp;2041;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.95
wemp;2041;pauto;0.88;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
wemp;2041;kauto;2.09;1.90;1.73;1.56;1.63;1.63;1.09;1.09;0.00
wemp;2042;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2042;bussi;1.48;1.48;1.35;1.51;1.49;1.49;0.50;0.50;0.00
wemp;2042;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.95;0.00;0.00
wemp;2042;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.17;0.00
wemp;2042;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94
wemp;2042;pauto;0.87;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
wemp;2042;kauto;2.05;1.87;1.70;1.53;1.60;1.60;1.07;1.07;0.00
wemp;2043;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2043;bussi;1.46;1.46;1.32;1.49;1.46;1.46;0.49;0.49;0.00
wemp;2043;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.97;0.00;0.00
wemp;2043;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.18;0.17;0.00
wemp;2043;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.93
wemp;2043;pauto;0.87;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
wemp;2043;kauto;2.02;1.84;1.67;1.50;1.58;1.58;1.05;1.05;0.00
wemp;2044;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2044;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
wemp;2044;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.99;0.00;0.00
wemp;2044;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemp;2044;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.92
wemp;2044;pauto;0.86;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
wemp;2044;kauto;1.98;1.80;1.64;1.48;1.55;1.55;1.03;1.03;0.00
wemp;2045;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2045;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
wemp;2045;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.01;0.00;0.00
wemp;2045;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemp;2045;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91
wemp;2045;pauto;0.86;0.79;0.79;0.94;0.31;0.00;0.32;0.12;0.00
wemp;2045;kauto;1.95;1.78;1.61;1.45;1.52;1.52;1.02;1.02;0.00
wemp;2046;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2046;bussi;1.42;1.42;1.30;1.46;1.43;1.43;0.48;0.48;0.00
wemp;2046;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.03;0.00;0.00
