scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
saasto;2022;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
saasto;2022;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
saasto;2023;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
saasto;2023;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;50;78
saasto;2024;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
saasto;2024;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
saasto;2025;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
saasto;2025;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
saasto;2026;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
saasto;2026;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
saasto;2027;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
saasto;2027;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
saasto;2028;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
saasto;2028;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;49;75
saasto;2029;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
saasto;2029;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
saasto;2030;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
saasto;2030;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
saasto;2031;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
saasto;2031;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
saasto;2032;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
saasto;2032;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
saasto;2033;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;28;71
saasto;2033;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;48;71
saasto;2034;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;28;71
saasto;2034;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
saasto;2035;pauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;27;71
saasto;2035;kauto;47;17;7;27;42;17;18;27;12;12;12;0;47;2;47;71
