mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
837;wemp;2037;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2037;bussi;0.000;0.000;0.215;0.002;0.000;0.000;0.782;0.001;0.000
837;wemp;2037;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2037;hlauto;0.171;0.002;0.091;0.003;0.094;0.002;0.637;0.000;0.000
837;wemp;2037;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2037;pauto;0.007;0.000;0.418;0.001;0.001;0.000;0.558;0.015;0.000
837;wemp;2037;kauto;0.000;0.000;0.782;0.067;0.000;0.020;0.131;0.000;0.000
837;wemp;2038;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2038;bussi;0.000;0.000;0.194;0.002;0.000;0.000;0.802;0.003;0.000
837;wemp;2038;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2038;hlauto;0.150;0.001;0.079;0.003;0.089;0.002;0.675;0.001;0.000
837;wemp;2038;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2038;pauto;0.006;0.000;0.368;0.001;0.001;0.000;0.603;0.021;0.000
837;wemp;2038;kauto;0.000;0.000;0.758;0.071;0.000;0.024;0.146;0.000;0.000
837;wemp;2039;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemp;2039;bussi;0.000;0.000;0.174;0.002;0.000;0.000;0.819;0.005;0.000
837;wemp;2039;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemp;2039;hlauto;0.132;0.001;0.068;0.002;0.085;0.001;0.709;0.001;0.000
837;wemp;2039;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemp;2039;pauto;0.005;0.000;0.322;0.001;0.001;0.000;0.643;0.028;0.000
837;wemp;2039;kauto;0.000;0.000;0.734;0.076;0.000;0.029;0.162;0.000;0.000
