mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
980;wem;2031;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2031;2031;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2032;9999;129;119;104;159;134;84;218;124;144;109;124;84
980;wem;2032;1920;139;124;94;228;199;124;233;159;233;273;179;124
980;wem;2032;1929;143;133;93;226;197;128;236;157;231;256;167;128
980;wem;2032;1939;150;145;101;222;193;130;237;155;227;213;164;130
980;wem;2032;1949;151;155;104;217;193;132;235;151;226;160;151;132
980;wem;2032;1959;140;153;100;205;179;127;223;140;210;131;140;127
980;wem;2032;1969;140;136;102;165;123;97;178;114;157;119;144;97
980;wem;2032;1979;114;123;90;135;98;78;143;94;127;90;106;78
980;wem;2032;1989;105;105;83;135;100;78;144;91;126;91;105;78
980;wem;2032;1999;110;119;100;134;100;76;138;86;124;91;100;76
980;wem;2032;2009;119;104;99;124;94;69;124;74;114;84;89;69
980;wem;2032;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2032;2018;73;71;57;77;55;40;85;55;74;40;40;40
980;wem;2032;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2032;2020;62;42;37;52;52;40;85;52;67;40;40;40
980;wem;2032;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2032;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2032;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2032;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2032;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2032;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2032;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2032;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2032;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2032;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2032;2031;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2032;2032;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2033;9999;129;119;104;159;134;84;218;124;144;109;124;84
980;wem;2033;1920;139;124;94;228;199;124;233;159;233;273;179;124
980;wem;2033;1929;143;133;93;226;197;128;236;157;231;256;167;128
980;wem;2033;1939;150;145;101;222;193;130;237;155;227;212;164;130
980;wem;2033;1949;150;155;103;216;193;131;235;150;225;160;150;131
980;wem;2033;1959;139;152;100;205;179;126;222;139;209;131;139;126
980;wem;2033;1969;138;134;101;164;122;96;176;113;155;117;143;96
980;wem;2033;1979;113;121;89;134;97;77;142;93;125;89;105;77
980;wem;2033;1989;103;103;81;133;99;77;142;90;124;90;103;77
980;wem;2033;1999;109;118;99;132;99;76;137;85;123;90;99;76
980;wem;2033;2009;119;104;99;123;94;69;123;74;114;84;89;69
980;wem;2033;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2033;2018;73;71;57;77;55;40;85;55;74;40;40;40
980;wem;2033;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2033;2020;62;42;37;52;52;40;85;52;67;40;40;40
980;wem;2033;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2033;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2033;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2033;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2033;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2033;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2033;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2033;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2033;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2033;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2033;2031;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2033;2032;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2033;2033;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2034;9999;129;119;104;159;134;84;218;124;144;109;124;84
980;wem;2034;1920;139;124;94;228;198;124;233;159;233;273;179;124
980;wem;2034;1929;143;133;93;226;197;128;236;157;231;256;167;128
980;wem;2034;1939;150;145;101;222;193;130;236;154;227;212;164;130
980;wem;2034;1949;150;155;103;215;192;131;234;150;225;159;150;131
980;wem;2034;1959;139;152;100;204;178;126;222;139;209;130;139;126
980;wem;2034;1969;137;133;100;162;120;95;174;112;154;116;141;95
980;wem;2034;1979;112;120;88;132;96;76;140;92;124;88;104;76
980;wem;2034;1989;101;101;80;131;97;76;139;89;123;89;101;76
980;wem;2034;1999;108;117;98;131;98;75;136;84;122;89;98;75
980;wem;2034;2009;118;103;99;123;94;69;123;74;113;84;89;69
980;wem;2034;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2034;2018;73;71;57;77;55;40;85;55;74;40;40;40
980;wem;2034;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2034;2020;62;42;37;52;52;40;85;52;67;40;40;40
980;wem;2034;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2034;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2034;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2034;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2034;2025;57;39;33;48;48;38;83;48;63;38;40;38
980;wem;2034;2026;56;39;33;48;48;38;83;48;63;38;40;38
980;wem;2034;2027;55;38;33;47;47;37;82;47;62;37;39;37
980;wem;2034;2028;54;38;32;47;47;37;82;47;62;37;38;37
980;wem;2034;2029;54;38;32;46;46;36;81;46;61;36;37;36
980;wem;2034;2030;53;38;31;46;46;36;81;46;61;36;36;36
980;wem;2034;2031;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2034;2032;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2034;2033;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2034;2034;52;38;31;45;45;35;80;45;60;35;35;35
980;wem;2035;9999;129;119;104;159;134;84;218;124;144;109;124;84
980;wem;2035;1920;139;124;94;228;198;124;233;159;233;273;179;124
980;wem;2035;1929;142;133;93;226;197;128;236;157;231;255;167;128
980;wem;2035;1939;149;145;101;222;193;130;236;154;227;212;164;130
980;wem;2035;1949;150;154;103;215;192;131;234;150;224;159;150;131
