scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
eu80;2039;liike;25
eu80;2039;tsto;20
eu80;2039;liiken;25
eu80;2039;hoito;35
eu80;2039;kokoon;25
eu80;2039;opetus;20
eu80;2039;teoll;0
eu80;2039;varast;0
eu80;2039;muut;25
eu80;2040;erpien;10
eu80;2040;rivita;20
eu80;2040;askert;22
eu80;2040;liike;25
eu80;2040;tsto;20
eu80;2040;liiken;25
eu80;2040;hoito;35
eu80;2040;kokoon;25
eu80;2040;opetus;20
eu80;2040;teoll;0
eu80;2040;varast;0
eu80;2040;muut;25
eu80;2041;erpien;10
eu80;2041;rivita;20
eu80;2041;askert;22
eu80;2041;liike;25
eu80;2041;tsto;20
eu80;2041;liiken;25
eu80;2041;hoito;35
eu80;2041;kokoon;25
eu80;2041;opetus;20
eu80;2041;teoll;0
eu80;2041;varast;0
eu80;2041;muut;25
eu80;2042;erpien;10
eu80;2042;rivita;20
eu80;2042;askert;22
eu80;2042;liike;25
eu80;2042;tsto;20
eu80;2042;liiken;25
eu80;2042;hoito;35
eu80;2042;kokoon;25
eu80;2042;opetus;20
eu80;2042;teoll;0
eu80;2042;varast;0
eu80;2042;muut;25
eu80;2043;erpien;10
eu80;2043;rivita;20
eu80;2043;askert;22
eu80;2043;liike;25
eu80;2043;tsto;20
eu80;2043;liiken;25
eu80;2043;hoito;35
eu80;2043;kokoon;25
eu80;2043;opetus;20
eu80;2043;teoll;0
eu80;2043;varast;0
eu80;2043;muut;25
eu80;2044;erpien;10
eu80;2044;rivita;20
eu80;2044;askert;22
eu80;2044;liike;25
eu80;2044;tsto;20
eu80;2044;liiken;25
eu80;2044;hoito;35
eu80;2044;kokoon;25
eu80;2044;opetus;20
eu80;2044;teoll;0
eu80;2044;varast;0
eu80;2044;muut;25
eu80;2045;erpien;10
eu80;2045;rivita;20
eu80;2045;askert;22
eu80;2045;liike;25
eu80;2045;tsto;20
eu80;2045;liiken;25
eu80;2045;hoito;35
eu80;2045;kokoon;25
eu80;2045;opetus;20
eu80;2045;teoll;0
eu80;2045;varast;0
eu80;2045;muut;25
eu80;2046;erpien;10
eu80;2046;rivita;20
eu80;2046;askert;22
eu80;2046;liike;25
eu80;2046;tsto;20
eu80;2046;liiken;25
eu80;2046;hoito;35
eu80;2046;kokoon;25
eu80;2046;opetus;20
eu80;2046;teoll;0
eu80;2046;varast;0
eu80;2046;muut;25
eu80;2047;erpien;10
eu80;2047;rivita;20
eu80;2047;askert;22
eu80;2047;liike;25
eu80;2047;tsto;20
eu80;2047;liiken;25
eu80;2047;hoito;35
eu80;2047;kokoon;25
eu80;2047;opetus;20
eu80;2047;teoll;0
eu80;2047;varast;0
eu80;2047;muut;25
eu80;2048;erpien;10
eu80;2048;rivita;20
eu80;2048;askert;22
eu80;2048;liike;25
eu80;2048;tsto;20
eu80;2048;liiken;25
eu80;2048;hoito;35
eu80;2048;kokoon;25
eu80;2048;opetus;20
eu80;2048;teoll;0
eu80;2048;varast;0
eu80;2048;muut;25
eu80;2049;erpien;10
eu80;2049;rivita;20
eu80;2049;askert;22
eu80;2049;liike;25
eu80;2049;tsto;20
eu80;2049;liiken;25
eu80;2049;hoito;35
eu80;2049;kokoon;25
eu80;2049;opetus;20
eu80;2049;teoll;0
eu80;2049;varast;0
eu80;2049;muut;25
eu80;2050;erpien;10
eu80;2050;rivita;20
eu80;2050;askert;22
eu80;2050;liike;25
eu80;2050;tsto;20
eu80;2050;liiken;25
eu80;2050;hoito;35
eu80;2050;kokoon;25
eu80;2050;opetus;20
eu80;2050;teoll;0
eu80;2050;varast;0
eu80;2050;muut;25
kasvu;9999;erpien;1
kasvu;9999;rivita;5
kasvu;9999;askert;5
kasvu;9999;liike;15
kasvu;9999;tsto;10
kasvu;9999;liiken;15
kasvu;9999;hoito;30
kasvu;9999;kokoon;15
kasvu;9999;opetus;10
kasvu;9999;teoll;0
kasvu;9999;varast;0
kasvu;9999;muut;15
kasvu;1920;erpien;1
kasvu;1920;rivita;5
kasvu;1920;askert;5
kasvu;1920;liike;15
kasvu;1920;tsto;10
kasvu;1920;liiken;15
kasvu;1920;hoito;30
kasvu;1920;kokoon;15
kasvu;1920;opetus;10
kasvu;1920;teoll;0
kasvu;1920;varast;0
kasvu;1920;muut;15
kasvu;1929;erpien;1
kasvu;1929;rivita;6
kasvu;1929;askert;6
kasvu;1929;liike;15
kasvu;1929;tsto;10
kasvu;1929;liiken;15
kasvu;1929;hoito;30
kasvu;1929;kokoon;15
kasvu;1929;opetus;10
kasvu;1929;teoll;0
kasvu;1929;varast;0
kasvu;1929;muut;15
kasvu;1939;erpien;2
