mun;year;erpien;rivita;askert
922;2043;47.748966068;44.4702288596;44.0933625168
922;2044;47.7728405568;44.4924639692;44.115409196
922;2045;47.7967269744;44.5147102016;44.1374668988
922;2046;47.8206253332;44.5369675568;44.1595356252
922;2047;47.8445356456;44.5592360472;44.1816154
922;2048;47.8684579116;44.5815156604;44.2037062108
922;2049;47.8923921436;44.6038064212;44.2258080576
922;2050;47.9163383416;44.6261083172;44.2479209652
604;2017;40.28;37.524;37.206
604;2018;40.3107453;37.542762;37.224603
604;2019;40.33090067;37.561533381;37.2432153068
604;2020;40.3510661206;37.580314143;37.2618369098
604;2021;40.3712416518;37.5991043072;37.2804678302
604;2022;40.3914272742;37.6179038524;37.2991080574
604;2023;40.4116229878;37.6367128104;37.3177576126
604;2024;40.4318288032;37.65553116;37.3364164958
604;2025;40.4520447204;37.674358933;37.355084707
604;2026;40.4722707394;37.6931961082;37.3737622462
604;2027;40.4925068708;37.7120427068;37.392449124
604;2028;40.5127531252;37.7308987288;37.411145351
604;2029;40.5330095026;37.7497641742;37.4298509272
604;2030;40.5532760136;37.7686390642;37.4485658526
604;2031;40.5735526476;37.7875233776;37.4672901272
604;2032;40.5938394258;37.8064171462;37.4860237722
604;2033;40.6141363482;37.8253203488;37.5047667876
604;2034;40.6344434148;37.8442330066;37.5235191734
604;2035;40.6547606362;37.8631551302;37.5422809296
604;2036;40.6750880124;37.882086709;37.5610520774
604;2037;40.695425554;37.9010277536;37.5798325956
604;2038;40.7157732716;37.919978264;37.598622516
604;2039;40.7361311546;37.9389382508;37.617421828
604;2040;40.7564992242;37.9579077246;37.6362305316
604;2041;40.7768774698;37.9768866748;37.655048648
604;2042;40.7972659126;37.9958751226;37.6738761772
604;2043;40.817664542;38.0148730574;37.6927131192
604;2044;40.8380733792;38.0338804898;37.711559474
604;2045;40.8584924136;38.0528974304;37.7304152522
604;2046;40.8789216558;38.0719238792;37.7492804538
604;2047;40.8993611164;38.0909598468;37.7681551
604;2048;40.9198107954;38.1100053226;37.7870391802
604;2049;40.9402707034;38.1290603278;37.8059326944
604;2050;40.9607408404;38.1481248518;37.8248356638
418;2017;41.61;38.763;38.4345
418;2018;41.641760475;38.7823815;38.45371725
418;2019;41.6625813525;38.80177269075;38.4729441141
418;2020;41.68341264345;38.82117357225;38.49218058135
418;2021;41.70425434785;38.8405841664;38.51142667365
418;2022;41.72510647665;38.8600044513;38.53068238005
418;2023;41.74596902985;38.8794344598;38.54994772245
418;2024;41.7668420184;38.89887417;38.56922270085
418;2025;41.7877254423;38.91832361475;38.58850731525
418;2026;41.80861930155;38.93778277215;38.60780156565
418;2027;41.8295236071;38.9572516641;38.627105463
