scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wem;2048;liiken;2
wem;2048;hoito;26
wem;2048;kokoon;6
wem;2048;opetus;8
wem;2048;teoll;7
wem;2048;varast;4
wem;2048;muut;7
wem;2049;erpien;27
wem;2049;rivita;29
wem;2049;askert;26
wem;2049;liike;33
wem;2049;tsto;3
wem;2049;liiken;2
wem;2049;hoito;26
wem;2049;kokoon;6
wem;2049;opetus;8
wem;2049;teoll;7
wem;2049;varast;4
wem;2049;muut;7
wem;2050;erpien;27
wem;2050;rivita;29
wem;2050;askert;26
wem;2050;liike;33
wem;2050;tsto;3
wem;2050;liiken;2
wem;2050;hoito;26
wem;2050;kokoon;6
wem;2050;opetus;8
wem;2050;teoll;7
wem;2050;varast;4
wem;2050;muut;7
eu80;9999;erpien;29
eu80;9999;rivita;31
eu80;9999;askert;30
eu80;9999;liike;34
eu80;9999;tsto;5
eu80;9999;liiken;4
eu80;9999;hoito;27
eu80;9999;kokoon;6
eu80;9999;opetus;9
eu80;9999;teoll;0
eu80;9999;varast;4
eu80;9999;muut;8
eu80;1920;erpien;29
eu80;1920;rivita;35
eu80;1920;askert;35
eu80;1920;liike;35
eu80;1920;tsto;5
eu80;1920;liiken;4
eu80;1920;hoito;27
eu80;1920;kokoon;6
eu80;1920;opetus;10
eu80;1920;teoll;0
eu80;1920;varast;4
eu80;1920;muut;8
eu80;1929;erpien;29
eu80;1929;rivita;35
eu80;1929;askert;35
eu80;1929;liike;35
eu80;1929;tsto;5
eu80;1929;liiken;4
eu80;1929;hoito;27
eu80;1929;kokoon;6
eu80;1929;opetus;10
eu80;1929;teoll;0
eu80;1929;varast;4
eu80;1929;muut;8
eu80;1939;erpien;29
eu80;1939;rivita;35
eu80;1939;askert;35
eu80;1939;liike;35
eu80;1939;tsto;5
eu80;1939;liiken;5
eu80;1939;hoito;27
eu80;1939;kokoon;6
eu80;1939;opetus;10
eu80;1939;teoll;0
eu80;1939;varast;4
eu80;1939;muut;8
eu80;1949;erpien;29
eu80;1949;rivita;34
eu80;1949;askert;35
eu80;1949;liike;35
eu80;1949;tsto;5
eu80;1949;liiken;0
eu80;1949;hoito;27
eu80;1949;kokoon;6
eu80;1949;opetus;10
eu80;1949;teoll;0
eu80;1949;varast;4
eu80;1949;muut;8
eu80;1959;erpien;29
eu80;1959;rivita;34
eu80;1959;askert;34
eu80;1959;liike;35
eu80;1959;tsto;5
eu80;1959;liiken;4
eu80;1959;hoito;27
eu80;1959;kokoon;6
eu80;1959;opetus;10
eu80;1959;teoll;0
eu80;1959;varast;4
